Bucuresti,Bucuresti,1921751
Iasi,Iasi,32158
Cluj-Napoca,Cluj,318027
Timisoara,Timis,317651
Constanta,Constanta,310526
Craiova,Dolj,302622
Galati,Galati,298584
Brasov,Brasov,283901
Ploiesti,Prahova,232452
Braila,Braila,216929
Oradea,Bihor,206527
Bacau,Bacau,175921
Arad,Arad,172824
Pitesti,Arges,168756
Sibiu,Sibiu,155045
Targu Mures,Mures,149577
Baia Mare,Maramures,137976
Buzau,Buzau,133116
Satu Mare,Satu Mare,11563
Botosani,Botosani,115344
Ramnicu Valcea,Valcea,107656
Suceava,Suceava,106138
Piatra Neamt,Neamt,105499
Drobeta-Turnu Severin,Mehedinti,104035
Focsani,Vrancea,103219
Targu Jiu,Gorj,96562
Tulcea,Tulcea,92762
Targoviste,Dambovita,89429
Resita,Caras-Severin,83985
Bistrita,Bistrita-Nasaud,81467
Slatina,Olt,79171
Hunedoara,Hunedoara,7138
Calarasi,Calarasi,71046
Vaslui,Vaslui,70267
Giurgiu,Giurgiu,69587
Roman,Neamt,69483
Deva,Hunedoara,6939
Barlad,Vaslui,69183
Alba Iulia,Alba,66369
Zalau,Salaj,63305
Sfantu Gheorghe,Covasna,61512
Turda,Cluj,5577
Medias,Sibiu,55203
Slobozia,Ialomita,52677
Onesti,Bacau,51681
Alexandria,Teleorman,50591
Petrosani,Hunedoara,45447
Lugoj,Timis,44571
Medgidia,Constanta,43867
Pascani,Iasi,42172
Tecuci,Galati,42012
Miercurea Ciuc,Harghita,41852
Sighetu Marmatiei,Maramures,41246
Mangalia,Constanta,40037
Ramnicu Sarat,Buzau,38805
Campina,Prahova,38758
Dej,Cluj,38478
Campulung,Arges,38285
Odorheiu Secuiesc,Harghita,36926
Reghin,Mures,36023
Mioveni,Arges,35849
Fagaras,Brasov,35759
Caracal,Olt,34603
Fetesti,Ialomita,33197
Curtea de Arges,Arges,32626
Navodari,Constanta,324
Sighisoara,Mures,32287
Rosiori de Vede,Teleorman,31873
Dorohoi,Botosani,31073
Turnu Magurele,Teleorman,30187
Falticeni,Suceava,33867
Husi,Vaslui,3332
Vulcan,Hunedoara,33186
Radauti,Suceava,32151
Oltenita,Calarasi,31434
Lupeni,Hunedoara,31409
Caransebes,Caras-Severin,31199
Cugir,Alba,30244
Sacele,Brasov,29967
Campia Turzii,Cluj,29852
Tarnaveni,Mures,29828
Sebes,Alba,29475
Aiud,Alba,28909
Petrila,Hunedoara,28742
Borsa,Maramures,27247
Zarnesti,Brasov,2652
Comanesti,Bacau,26237
Motru,Gorj,2586
Carei,Satu Mare,2559
Moinesti,Bacau,25532
Codlea,Brasov,24814
Orastie,Hunedoara,24354
Gherla,Cluj,24232
Bals,Olt,23147
Moreni,Dambovita,22868
Targu Neamt,Neamt,22634
Dragasani,Valcea,22499
Targu Secuiesc,Covasna,22251
Bailesti,Dolj,22231
Buhusi,Bacau,21993
Corabia,Olt,21932
Campulung Moldovenesc,Suceava,21862
Blaj,Alba,21819
Gheorgheni,Harghita,21245
Calafat,Dolj,21227
Adjud,Vrancea,20776
Cernavoda,Constanta,20514
Baicoi,Prahova,20234
Filiasi,Dolj,20159
Salonta,Bihor,20006
Buftea,Ilfov,19617
Urziceni,Ialomita,19088
Bocsa,Caras-Severin,19023
Breaza,Prahova,18863
Marghita,Bihor,1865
Ludus,Mures,18647
Viseu de Sus,Maramures,18444
Brad,Hunedoara,18075
Vatra Dornei,Suceava,17864
Cisnadie,Sibiu,17204
Mizil,Prahova,17075
Simleu Silvaniei,Salaj,17053
Toplita,Harghita,16839
Zimnicea,Teleorman,16787
Gura Humorului,Suceava,1674
Gaesti,Dambovita,16598
Pucioasa,Dambovita,16489
Negresti-Oas,Satu Mare,16356
Rasnov,Brasov,16242
Avrig,Sibiu,16215
Baia Sprie,Maramures,15735
Ocna Mures,Alba,15697
Orsova,Mehedinti,15379
Oravita,Caras-Severin,15222
Moldova Noua,Caras-Severin,15112
Calan,Hunedoara,14714
Sinaia,Prahova,14636
Tandarei,Ialomita,14591
Simeria,Hunedoara,14571
Darmanesti,Bacau,14232
Targu Ocna,Bacau,14184
Targu Lapus,Maramures,14139
Valenii de Munte,Prahova,13898
Targu Frumos,Iasi,13763
Scornicesti,Olt,13751
Comarnic,Prahova,13532
Ovidiu,Constanta,13458
Draganesti-Olt,Olt,13181
Otelu Rosu,Caras-Severin,13128
Marasesti,Vrancea,1307
Sannicolau Mare,Timis,13007
Ianca,Braila,12886
Nehoiu,Buzau,1265
Rovinari,Gorj,12603
Strehaia,Mehedinti,12564
Hateg,Hunedoara,12507
Videle,Teleorman,12498
Covasna,Covasna,12306
Jibou,Salaj,12283
Harlau,Iasi,1226
Sovata,Mures,12219
Uricani,Hunedoara,12177
Agnita,Sibiu,12115
Costesti,Arges,12091
Beius,Bihor,12089
Beclean,Bistrita-Nasaud,12033
Darabani,Botosani,12002
Bumbesti-Jiu,Gorj,11882
Urlati,Prahova,11858
Macin,Tulcea,11803
Busteni,Prahova,11787
Boldesti-Scaeni,Prahova,11505
Lipova,Arad,11491
Bolintin-Vale,Giurgiu,11464
Nasaud,Bistrita-Nasaud,11365
Cristuru Secuiesc,Harghita,11291
Harsova,Constanta,11198
Basarabi,Constanta,1107
Victoria,Brasov,10896
Babadag,Tulcea,10878
Alesd,Bihor,10852
Titu,Dambovita,10711
Sangeorz-Bai,Bistrita-Nasaud,10702
Valea lui Mihai,Bihor,10665
Anina,Caras-Severin,10594
Otopeni,Ilfov,10515
Jimbolia,Timis,10497
Negresti,Vaslui,10481
Baraolt,Covasna,10464
Ineu,Arad,10416
Topoloveni,Arges,10329
Tasnad,Satu Mare,10188
Plopeni,Prahova,10083
Siret,Suceava,10003
Huedin,Cluj,9955
Panciu,Vrancea,9834
Iernut,Mures,9833
Curtici,Arad,9762
Budesti,Calarasi,9596
Stei,Bihor,9466
Seini,Maramures,9439
Targu Carbunesti,Gorj,9338
Balan,Harghita,9295
Eforie,Constanta,9294
Zlatna,Alba,9254
Talmaciu,Sibiu,9147
Intorsura Buzaului,Covasna,9081
Calimanesti-Caciulata,Valcea,8923
Bicaz,Neamt,8911
Dumbraveni,Sibiu,8812
Chisineu-Cris,Arad,8724
Segarcea,Dolj,8704
Saveni,Botosani,8685
Campeni,Alba,8587
Cehu Silvaniei,Salaj,8468
Nadlac,Arad,8422
Dealu,Giurgiu,8336
Buzias,Timis,8128
Fieni,Dambovita,8092
Targu Bujor,Galati,8044
Odobesti,Vrancea,7985
Pogoanele,Buzau,7614
Brezoi,Valcea,7589
Tismana,Gorj,7578
Faget,Timis,7519
Insuratei,Braila,7501
Horezu,Valcea,7446
Pancota,Arad,7418
Vlahita,Harghita,7392
Techirghiol,Constanta,7388
Teius,Alba,7338
Slanic,Prahova,7249
Mihailesti,Giurgiu,7161
Vanju Mare,Mehedinti,7074
Deta,Timis,7059
Sebis,Arad,6829
Abrud,Alba,6803
Predeal,Brasov,6735
Lehliu Gara,Calarasi,6667
Piatra Olt,Olt,6583
Geoagiu,Hunedoara,629
Rupea,Brasov,6246
Fundulea,Calarasi,6217
Novaci,Gorj,6151
Azuga,Prahova,6119
Aninoasa,Hunedoara,6108
Baile Herculane,Caras-Severin,6051
Baia de Arama,Mehedinti,5724
Isaccea,Tulcea,5614
Negru Voda,Constanta,5529
Cavnic,Maramures,5494
Slanic Moldova,Bacau,5375
Ticleni,Gorj,5205
Copsa Mica,Sibiu,5157
Sulina,Tulcea,514
Baia de Aries,Alba,4877
Baile Olanesti,Valcea,4814
Solca,Suceava,4687
Faurei,Braila,4626
Ocna Sibiului,Sibiu,4184
Beresti,Galati,3926
Ocnele Mari,Valcea,3591
Baile Govora,Valcea,3147
Borsec,Harghita,3109
Vascau,Bihor,3032
Nucet,Bihor,2851
Baile Tusnad,Harghita,1802
