1,Bucuresti,Bucuresti,1921751
2,Iasi,Iasi,32158
3,Cluj-Napoca,Cluj,318027
4,Timisoara,Timis,317651
5,Constanta,Constanta,310526
6,Craiova,Dolj,302622
7,Galati,Galati,298584
8,Brasov,Brasov,283901
9,Ploiesti,Prahova,232452
10,Braila,Braila,216929
11,Oradea,Bihor,206527
12,Bacau,Bacau,175921
13,Arad,Arad,172824
14,Pitesti,Arges,168756
15,Sibiu,Sibiu,155045
16,Targu Mures,Mures,149577
17,Baia Mare,Maramures,137976
18,Buzau,Buzau,133116
19,Satu Mare,Satu Mare,11563
20,Botosani,Botosani,115344
21,Ramnicu Valcea,Valcea,107656
22,Suceava,Suceava,106138
23,Piatra Neamt,Neamt,105499
24,Drobeta-Turnu Severin,Mehedinti,104035
25,Focsani,Vrancea,103219
26,Targu Jiu,Gorj,96562
27,Tulcea,Tulcea,92762
28,Targoviste,Dambovita,89429
29,Resita,Caras-Severin,83985
30,Bistrita,Bistrita-Nasaud,81467
31,Slatina,Olt,79171
32,Hunedoara,Hunedoara,7138
33,Calarasi,Calarasi,71046
34,Vaslui,Vaslui,70267
35,Giurgiu,Giurgiu,69587
36,Roman,Neamt,69483
37,Deva,Hunedoara,6939
38,Barlad,Vaslui,69183
39,Alba Iulia,Alba,66369
40,Zalau,Salaj,63305
41,Sfantu Gheorghe,Covasna,61512
42,Turda,Cluj,5577
43,Medias,Sibiu,55203
44,Slobozia,Ialomita,52677
45,Onesti,Bacau,51681
46,Alexandria,Teleorman,50591
47,Petrosani,Hunedoara,45447
48,Lugoj,Timis,44571
49,Medgidia,Constanta,43867
50,Pascani,Iasi,42172
51,Tecuci,Galati,42012
52,Miercurea Ciuc,Harghita,41852
53,Sighetu Marmatiei,Maramures,41246
54,Mangalia,Constanta,40037
55,Ramnicu Sarat,Buzau,38805
56,Campina,Prahova,38758
57,Dej,Cluj,38478
58,Campulung,Arges,38285
59,Odorheiu Secuiesc,Harghita,36926
60,Reghin,Mures,36023
61,Mioveni,Arges,35849
62,Fagaras,Brasov,35759
63,Caracal,Olt,34603
64,Fetesti,Ialomita,33197
65,Curtea de Arges,Arges,32626
